0,76147
1,112153
2,663112
3,55523
4,72803
5,97784
6,99810
7,100354
8,99942
9,99916
10,98800
11,2268319
12,3894
13,34495
14,92977
15,113483
16,90151
17,98726
18,98357
19,97138
20,99920
21,235909
22,160620
23,3226
24,113394
25,101087
26,101445
27,105944
28,96326
29,90888
30,98434
31,102821
32,100123
33,97587
34,101717
35,122711
36,2895608
37,8854
38,70835
39,96704
40,99702
41,102176
42,117550
43,82672
44,97602
45,97773
46,98838
47,100750
48,111161
49,96791
50,101102
51,94199
52,105245
53,97995
54,103080
55,101546
56,99356
57,100210
58,99909
59,99903
60,99448
61,92307
62,108671
63,100315
64,99781
65,100549
66,99737
67,99632
68,100723
69,99099
70,92443
71,107695
72,99727
73,101297
74,98744
75,100520
76,99431
77,100701
78,99980
79,91356
80,107917
81,99826
82,101161
83,99865
84,100538
85,99418
86,99229
87,100012
88,92578
89,3860206
90,8046
91,33898
92,95279
93,100092
94,100902
95,100213
96,107550
97,98138
98,100717
99,101273
100,105025
101,89096
102,114686
103,91470
104,99828
105,97972
106,102210
107,100520
108,98715
109,99732
110,94408
111,106570
112,108587
113,91727
114,99989
115,99609
116,98277
117,99595
118,100014
119,99271
120,98417
121,102954
122,93553
123,106904
124,100504
125,102119
126,98635
127,99688
128,100041
129,98854
130,102388
131,91526
132,105802
133,103363
134,96782
135,99418
136,102588
137,100609
138,98721
139,99335
140,98457
141,105212
142,91454
143,106615
144,101528
145,118112
146,81863
147,99307
148,98088
149,98326
150,100678
151,94398
152,115340
153,90560
154,102342
155,97793
156,99563
157,100860
158,100086
159,98623
160,100898
161,98977
162,95151
163,105012
164,99967
165,102263
166,98588
167,98779
168,102685
169,101059
170,98339
171,99958
172,93786
173,106195
174,97251
175,103178
176,102501
177,97406
178,99371
179,100906
180,92890
181,106645
182,121717
183,77625
184,101263
185,99754
186,100658
187,100083
188,98869
189,1438875
190,4896
191,52064
192,97776
193,96403
194,100575
195,116102
196,86677
197,98342
198,105397
199,100527
200,100426
201,100394
202,99945
203,101052
204,93886
205,106380
206,98927
207,100535
208,101170
209,99699
210,100173
211,97724
212,100434
213,95063
214,105102
215,99958
216,99939
217,99722
218,99430
219,100235
220,104049
221,98618
222,100775
223,92003
224,106937
225,99945
226,99146
227,101379
228,99109
